Cytogenetic location	Genomic coordinates (From NCBI/GRCh38)	Gene/Locus	Gene/Locus name	Gene/Locus MIM number	Comments	Phenotype	Phenotype MIM number	Inheritance	Pheno map key	Mouse Gene (from MGI)
1p34.2	1:42925374-42959175	SLC2A1, GLUT1, HTLVR, DYT18, PED, GLUT1DS, EIG12, DYT9, SDCHCN	Solute carrier family 2 (facilitated glucose transporter), member 1	138140	probably in 1p33	Dystonia 9	601042	Autosomal dominant	3	Slc2a1
1p34.2	1:43336874-43354463	MPL, TPOR, MPLV, THCYT2	Myeloproliferative leukemia virus, homolog of	159530		Thrombocytopenia, congenital amegakaryocytic	604498	Autosomal recessive	3	Mpl
1p34.2	1:43336874-43354463	MPL, TPOR, MPLV, THCYT2	Myeloproliferative leukemia virus, homolog of	159530		Thrombocythemia 2	601977	Autosomal dominant; Somatic mutation	3	Mpl
1p34.2	1:43336874-43354463	MPL, TPOR, MPLV, THCYT2	Myeloproliferative leukemia virus, homolog of	159530		Myelofibrosis with myeloid metaplasia, somatic	254450		3	Mpl
1p34.2	1:43389883-43454246	SZT2, KIAA0467, EIEE18	Seizure threshold 2, mouse, homolog of	615463		Epileptic encephalopathy, early infantile, 18	615476	Autosomal recessive	3	Szt2
1p34.1-p32	1:43700000-60800000	PTOS1	Ptosis, congenital 1, autosomal dominant	178300		Ptosis, hereditary congenital, 1	178300	Autosomal dominant	2	
1p34.1	1:43707496-43931164	ST3GAL3, SIAT6, ST3GALII, MRT12, EIEE15	ST3 beta-galactoside alpha-2,3-sialyltransferase 3	606494	mutation identified in 1 EIEE15 family	Mental retardation, autosomal recessive 12	611090	Autosomal recessive	3	St3gal3
1p34.1	1:43707496-43931164	ST3GAL3, SIAT6, ST3GALII, MRT12, EIEE15	ST3 beta-galactoside alpha-2,3-sialyltransferase 3	606494	mutation identified in 1 EIEE15 family	?Epileptic encephalopathy, early infantile, 15	615006	Autosomal recessive	3	St3gal3
1p34.1	1:43996482-44031491	SLC6A9, GLYT1, GCENSG	Solute carrier family 6 (neurotransmitter transporter, glycine), member 9	601019		Glycine encephalopathy with normal serum glycine	617301	Autosomal recessive	3	Slc6a9
1p34.1	1:44819843-44842943	PTCH2	Patched, Drosophila, homolog of, 2	603673		Basal cell nevus syndrome	109400	Autosomal dominant	3	Ptch2
1p34.1	1:44819843-44842943	PTCH2	Patched, Drosophila, homolog of, 2	603673		Basal cell carcinoma, somatic	605462		3	Ptch2
1p34.1	1:44819843-44842943	PTCH2	Patched, Drosophila, homolog of, 2	603673		Medulloblastoma, somatic	155255		3	Ptch2
1p34.1	1:44850521-44986721	EIF2B3	Eukaryotic translation initiation factor 2B, subunit 3	606273		Leukoencephalopathy with vanishing white matter	603896	Autosomal recessive	3	Eif2b3
1p34.1	1:45012132-45015668	UROD	Uroporphyrinogen decarboxylase	613521		Porphyria, hepatoerythropoietic	176100	Autosomal dominant; Autosomal recessive	3	Urod
1p34.1	1:45012132-45015668	UROD	Uroporphyrinogen decarboxylase	613521		Porphyria cutanea tarda	176100	Autosomal dominant; Autosomal recessive	3	Urod
1p34.1	1:45329241-45340924	MUTYH, MYH	MutY, E. coli, homolog of	604933		Gastric cancer, somatic	613659		3	Mutyh
1p34.1	1:45329241-45340924	MUTYH, MYH	MutY, E. coli, homolog of	604933		Colorectal adenomatous polyposis, autosomal recessive, with pilomatricomas	132600	Somatic mutation	3	Mutyh
1p34.1	1:45329241-45340924	MUTYH, MYH	MutY, E. coli, homolog of	604933		Adenomas, multiple colorectal	608456	Autosomal recessive	3	Mutyh
1p34.1	1:45339456-45343977	TOE1, PCH7	Target of EGR1	613931		Pontocerebellar hypoplasia, type 7	614969	Autosomal recessive	3	Toe1
1p34.1	1:45500183-45511265	MMACHC	MMACHC gene	609831		Methylmalonic aciduria and homocystinuria, cblC type	277400	Autosomal recessive	3	Mmachc
1p34.1	1:46188680-46220304	POMGNT1, MEB, MDDGA3, MDDGB3, MDDGC3, RP76	Protein 0-mannose beta-1,2-N-acetylglucosaminyltransferase	606822		Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 3	613151	Autosomal recessive	3	Pomgnt1
1p34.1	1:46188680-46220304	POMGNT1, MEB, MDDGA3, MDDGB3, MDDGC3, RP76	Protein 0-mannose beta-1,2-N-acetylglucosaminyltransferase	606822		Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 3	253280	Autosomal recessive	3	Pomgnt1
1p34.1	1:46188680-46220304	POMGNT1, MEB, MDDGA3, MDDGB3, MDDGC3, RP76	Protein 0-mannose beta-1,2-N-acetylglucosaminyltransferase	606822		Retinitis pigmentosa 76	617123	Autosomal recessive	3	Pomgnt1
1p34.1	1:46188680-46220304	POMGNT1, MEB, MDDGA3, MDDGB3, MDDGC3, RP76	Protein 0-mannose beta-1,2-N-acetylglucosaminyltransferase	606822		Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 3	613157	Autosomal recessive	3	Pomgnt1
1p34.1	1:46247694-46278476	RAD54L, HR54, HRAD54	RAD54, S. cerevisiae, homolog-like	603615		Adenocarcinoma, colonic, somatic			3	Rad54l
1p34.1	1:46247694-46278476	RAD54L, HR54, HRAD54	RAD54, S. cerevisiae, homolog-like	603615		{Breast cancer, invasive ductal}	114480	Autosomal dominant	3	Rad54l
1p34.1	1:46247694-46278476	RAD54L, HR54, HRAD54	RAD54, S. cerevisiae, homolog-like	603615		Lymphoma, non-Hodgkin, somatic	605027		3	Rad54l
1p33-p31.1	1:46300000-84400000	FWS	Forsythe-Wakeling syndrome	613606	between rs2354462 and rs718883	Forsythe-Wakeling syndrome	613606	Autosomal recessive	2	
1p33	1:46394266-46413847	FAAH	Fatty acid amide hydrolase	602935		{Drug addiction, susceptibility to}	606581		3	Faah
1p33	1:47216289-47232388	TAL1, TCL5, SCL	T-cell acute lymphocytic leukemia-1	187040	proximal to MYCL1	Leukemia, T-cell acute lymphocytic, somatic	613065		3	Tal1
1p33	1:47250138-47314786	STIL, SIL, MCPH7	SCL/TAL1-interrupting locus	181590	within about 250kb of SCL	Microcephaly 7, primary, autosomal recessive	612703	Autosomal recessive	3	Stil
1p33	1:47416071-47418051	FOXE3, FKHL12, ASMD, CTRCT34, ASGD2, AAT11	Forkhead box E3	601094		{Aortic aneurysm, familial thoracic 11, susceptibility to}	617349	Autosomal dominant	3	
1p33	1:47416071-47418051	FOXE3, FKHL12, ASMD, CTRCT34, ASGD2, AAT11	Forkhead box E3	601094		Cataract 34, multiple types	612968		3	
1p33	1:47416071-47418051	FOXE3, FKHL12, ASMD, CTRCT34, ASGD2, AAT11	Forkhead box E3	601094		Anterior segment dysgenesis 2, multiple subtypes	610256	Autosomal recessive	3	
1p33-p32	1:50048013-50203785	ELAVL4, HUD, PNEM	Embryonic lethal, abnormal vision, Drosophila, homolog of, like-4 (Hu antigen D)	168360		Neuropathy, paraneoplastic sensory			1	Elavl4
1p32.3	1:52371407-52404470	ORC1, ORC1L	Origin recognition complex, subunit 1, S. cerevisiae, homolog	601902		Meier-Gorlin syndrome 1	224690	Autosomal recessive	3	Orc1
1p32.3	1:52686341-52698365	COA7, RESA1, SELRC1, C1orf163	Cytochrome C oxidase assembly factor	615623	mutation identified in 1 COX4D patient	?Mitochondrial complex IV deficiency	220110	Autosomal recessive; Mitochondrial	3	Coa7
1p32.3	1:53196428-53214196	CPT2, IIAE4	Carnitine palmitoyltransferase II	600650	formerly at 1p13	CPT II deficiency, lethal neonatal	608836	Autosomal recessive	3	Cpt2
1p32.3	1:53196428-53214196	CPT2, IIAE4	Carnitine palmitoyltransferase II	600650	formerly at 1p13	CPT II deficiency, infantile	600649	Autosomal recessive	3	Cpt2
1p32.3	1:53196428-53214196	CPT2, IIAE4	Carnitine palmitoyltransferase II	600650	formerly at 1p13	{Encephalopathy, acute, infection-induced, 4, susceptibility to}	614212	Autosomal dominant; Autosomal recessive	3	Cpt2
1p32.3	1:53196428-53214196	CPT2, IIAE4	Carnitine palmitoyltransferase II	600650	formerly at 1p13	CPT II deficiency, myopathic, stress-induced	255110	Autosomal dominant; Autosomal recessive	3	Cpt2
1p32.3	1:53894186-53911085	DIO1, TXDI1	Deiodinase, iodothyronine, type I	147892					Dio1
1p32.3	1:54200166-54225488	MRPL37	Mitochondrial ribosomal protein L37	611843					Mrpl37
1p32.3	1:54756897-54764552	PARS2	Prolyl-tRNA synthetase 2	612036					Pars2
1p32.3	1:54849626-54887247	DHCR24, KIAA0018	24-dehydrocholesterol reductase	606418		Desmosterolosis	602398	Autosomal recessive	3	Dhcr24
1p32.3	1:54998943-55008791	BSND	Barttin	606412		Sensorineural deafness with mild renal dysfunction	602522	Autosomal recessive	3	Bsnd
1p32.3	1:54998943-55008791	BSND	Barttin	606412		Bartter syndrome, type 4a	602522	Autosomal recessive	3	Bsnd
1p32.3	1:55039475-55064852	PCSK9, NARC1, HCHOLA3, FH3, LDLCQ1	Proprotein convertase, subtilisin/kexin-type, 9	607786		{Low density lipoprotein cholesterol level QTL 1}	603776		3	Pcsk9
1p32.3	1:55039475-55064852	PCSK9, NARC1, HCHOLA3, FH3, LDLCQ1	Proprotein convertase, subtilisin/kexin-type, 9	607786		Hypercholesterolemia, familial, 3	603776		3	Pcsk9
1p32.2	1:56929209-56974382	C8B	Complement component-8, beta polypeptide	120960		C8 deficiency, type II	613789	Autosomal recessive	3	C8b
1p32.2	1:56997905-58250538	DAB1, SCA37	Disabled, Drosophila, homolog 1	603448		Spinocerebellar ataxia 37	615945	Autosomal dominant	3	Dab1
1p32.1	1:58575422-58577493	TACSTD2, TROP2, M1S1	Tumor-associated calcium signal transducer 2	137290		Corneal dystrophy, gelatinous drop-like	204870	Autosomal recessive	3	Tacstd2
1p31-p21	1:60800000-106700000	AVSD1, AVCD	Atrioventricular septal defect, susceptibility to, 1	606215		{Atrioventricular septal defect, susceptibility to, 1}	606215		2	
1p31.3	1:60800000-68500000	OPHLC, C1DUPp31.3, DUP1p31.3	Omphalocele due to duplication of 1p31.3	164750	duplication of 710kb at 1p31.3	Omphalocele due to duplication of 1p31.3	164750	Autosomal dominant	4	
1p31.3-p31.1	1:60800000-84400000	POROK5, DSAP3	Porokeratosis 5, disseminated superficial actinic	612293	between D1S438 and D1S464	Porokeratosis 5, disseminated superficial actinic	612293		2	
1p31.3	1:61077123-61462787	NFIA, BRMUTD	Nuclear factor I/A	600727		Brain malformations and urinary tract defects	613735	Isolated cases	3	Nfia
1p31.3	1:62454725-62688367	DOCK7, KIAA1771, EIEE23	Dedicator of cytokinesis 7	615730		Epileptic encephalopathy, early infantile, 23	615859	Autosomal recessive	3	Dock7
1p31.3	1:62597486-62606304	ANGPTL3, ANGPT5, FHBL2	Angiopoietin-like 3	604774		Hypobetalipoproteinemia, familial, 2	605019	Autosomal recessive	3	Angptl3
1p31.3	1:63323058-63325125	FOXD3, AIS1, VAMAS2	Forkhead box D3	611539		{Autoimmune disease, susceptibility to, 1}	607836	Autosomal dominant	3	Foxd3
1p31.3	1:63367589-63438561	ALG6, CDG1C	Alg6, S. cerevisiae, homolog of	604566		Congenital disorder of glycosylation, type Ic	603147	Autosomal recessive	3	Alg6
1p31.3	1:63593275-63660244	PGM1, GSD14, CDG1T	Phosphoglucomutase-1	171900	distal to ACADM; formerly 1p22.1	Congenital disorder of glycosylation, type It	614921	Autosomal recessive	3	Pgm2
1p31.3	1:65264693-65415868	DNAJC6, DJC6, KIAA0473, PARK19	DNAJ, E. coli, homolog of, subfamily C, member 6	608375		Parkinson disease 19a, juvenile-onset	615528	Autosomal recessive	3	Dnajc6
1p31.3	1:65264693-65415868	DNAJC6, DJC6, KIAA0473, PARK19	DNAJ, E. coli, homolog of, subfamily C, member 6	608375		Parkinson disease 19b, early-onset	615528	Autosomal recessive	3	Dnajc6
1p31.3	1:66999331-67054396	SLC35D1, UGTREL7, KIAA0260	Solute carrier family 35 (UDP-glucuronic acid/UDP-N-acetylgalactosamine dual transporter), member D1	610804		Schneckenbecken dysplasia	269250	Autosomal recessive	3	Slc35d1
1p31.3	1:67138637-67259978	IL23R, IBD17	Interleukin 23 receptor	607562		{Psoriasis, protection against}	605606		3	Il23r
1p31.3	1:67138637-67259978	IL23R, IBD17	Interleukin 23 receptor	607562		{Inflammatory bowel disease 17, protection against}	612261		3	Il23r
1p31.3	1:67307350-67397729	IL12RB2	Interleukin 12 receptor, beta-2	601642					Il12rb2
1p31.3	1:67685176-67688337	DDIT1, GADD45	DNA damage-inducible transcript-1	126335					Gadd45a
1p31.3	1:68428821-68450321	RPE65, RP20, LCA2	Retinal pigment epithelium-specific protein, 65kD	180069		Retinitis pigmentosa 20	613794	Autosomal recessive	3	Rpe65
1p31.3	1:68428821-68450321	RPE65, RP20, LCA2	Retinal pigment epithelium-specific protein, 65kD	180069		Leber congenital amaurosis 2	204100	Autosomal recessive	3	Rpe65
1p31.1	1:70411217-70441948	CTH	Cystathionine gamma-lyase	607657	previously assigned to chr.16	Homocysteine, total plasma, elevated			3	Cth
1p31.1	1:70411217-70441948	CTH	Cystathionine gamma-lyase	607657	previously assigned to chr.16	Cystathioninuria	219500	Autosomal recessive	3	Cth
1p31.1	1:75724346-75763678	ACADM, MCAD	Acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain	607008		Acyl-CoA dehydrogenase, medium chain, deficiency of	201450	Autosomal recessive	3	Acadm
1p31.1	1:77779623-77879539	FAM73A, MIGA1	Miga, Drosophila, homolog of, 1	616773					Miga1
1p22.3	1:85018081-85048901	MCOLN3	Mucolipin 3	607400					Mcoln3
1p22.3	1:85265775-85276903	BCL10, IMD37	B-cell leukemia/lymphoma 10	603517	mutation identified in 1 IMD37 patient	{Lymphoma, follicular, somatic}	605027		3	Bcl10
1p22.3	1:85265775-85276903	BCL10, IMD37	B-cell leukemia/lymphoma 10	603517	mutation identified in 1 IMD37 patient	Lymphoma, MALT, somatic	137245		3	Bcl10
1p22.3	1:85265775-85276903	BCL10, IMD37	B-cell leukemia/lymphoma 10	603517	mutation identified in 1 IMD37 patient	?Immunodeficiency 37	616098	Autosomal recessive	3	Bcl10
1p22.3	1:85265775-85276903	BCL10, IMD37	B-cell leukemia/lymphoma 10	603517	mutation identified in 1 IMD37 patient	{Sezary syndrome, somatic}			3	Bcl10
1p22.3	1:85265775-85276903	BCL10, IMD37	B-cell leukemia/lymphoma 10	603517	mutation identified in 1 IMD37 patient	{Mesothelioma, somatic}	156240		3	Bcl10
1p22.3	1:85265775-85276903	BCL10, IMD37	B-cell leukemia/lymphoma 10	603517	mutation identified in 1 IMD37 patient	{Male germ cell tumor, somatic},	273300		3	Bcl10
1p22.1	1:92245785-92441935	GLML, GVM, VMGLOM	Glomulin	601749		Glomuvenous malformations	138000	Autosomal dominant	3	Glmn
1p22.1	1:92832036-92841923	RPL5, DBA6	Ribosomal protein L5	603634		Diamond-Blackfan anemia 6	612561	Autosomal dominant	3	Rpl5
1p22.1	1:93885198-93909597	GCLM, GLCLR	Glutamate-cysteine ligase, modifier subunit	601176		{Myocardial infarction, susceptibility to}	608446		3	Gclm
1p22.1	1:93992836-94121148	ABCA4, ABCR, STGD1, FFM, RP19, CORD3, ARMD2	ATP-binding transporter, retina-specific	601691		Retinitis pigmentosa 19	601718	Autosomal recessive	3	Abca4
1p22.1	1:93992836-94121148	ABCA4, ABCR, STGD1, FFM, RP19, CORD3, ARMD2	ATP-binding transporter, retina-specific	601691		Retinal dystrophy, early-onset severe	248200	Autosomal recessive	3	Abca4
1p22.1	1:93992836-94121148	ABCA4, ABCR, STGD1, FFM, RP19, CORD3, ARMD2	ATP-binding transporter, retina-specific	601691		Fundus flavimaculatus	248200	Autosomal recessive	3	Abca4
1p22.1	1:93992836-94121148	ABCA4, ABCR, STGD1, FFM, RP19, CORD3, ARMD2	ATP-binding transporter, retina-specific	601691		Cone-rod dystrophy 3	604116		3	Abca4
1p22.1	1:93992836-94121148	ABCA4, ABCR, STGD1, FFM, RP19, CORD3, ARMD2	ATP-binding transporter, retina-specific	601691		{Macular degeneration, age-related, 2}	153800	Autosomal dominant	3	Abca4
1p22.1	1:93992836-94121148	ABCA4, ABCR, STGD1, FFM, RP19, CORD3, ARMD2	ATP-binding transporter, retina-specific	601691		Stargardt disease 1	248200	Autosomal recessive	3	Abca4
1p21.3	1:94385105-94518662	ABCD3, PXMP1, PMP70, CBAS5	ATP-binding cassette, subfamily D, member 3 (peroxisomal membrane protein 1, 70kD)	170995	mutation identified in 1 CBAS5 family	?Bile acid synthesis defect, congenital, 5	616278	Autosomal recessive	3	Abcd3
1p21.3	1:94529175-94541856	F3, TFA	Coagulation factor III	134390					F3
1p21.3	1:94981564-95072973	ALG14, CMS15	Alg14, S. cerevisiae, homolog of	612866	mutation identified in 1 CMSWTA family	?Myasthenic syndrome, congenital, 15, without tubular aggregates	616227		3	Alg14
1p21.3	1:97077742-97921058	DPYD, DPD	Dihydropyrimidine dehydrogenase	612779		5-fluorouracil toxicity	274270	Autosomal recessive	3	Dpyd
1p21.3	1:97077742-97921058	DPYD, DPD	Dihydropyrimidine dehydrogenase	612779		Dihydropyrimidine dehydrogenase deficiency	274270	Autosomal recessive	3	Dpyd
1p21.2	1:99850076-99924022	AGL, GDE	Amylo-1,6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme)	610860		Glycogen storage disease IIIa	232400	Autosomal recessive	3	Agl
1p21.2	1:99850076-99924022	AGL, GDE	Amylo-1,6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme)	610860		Glycogen storage disease IIIb	232400	Autosomal recessive	3	Agl
1p21.2	1:99969366-100026978	SLC35A3, AMRS	Solute carrier family 35 (UDP-GlcNAc transporter), member 3	605632	mutation identified in 1 family	?Arthrogryposis, mental retardation, and seizures	615553	Autosomal recessive	3	Slc35a3
1p21.2	1:100082631-100133094	SASS6, SAS6, MCPH14	Sas6, C. elegans, homolog of	609321	mutation identified in 1 MCPH14 family	?Microcephaly 14, primary, autosomal recessive	616402	Autosomal recessive	3	Sass6
1p21.2	1:100186921-100249863	DBT, BCATE2	Dihydrolipoamide branched chain transacylase (E2 component of branched chain keto acid dehydrogenase complex)	248610	pseudogene on 3q24	Maple syrup urine disease, type II	248600	Autosomal recessive	3	Dbt
1p21.2	1:100538171-100542026	GPR88, STRG, COCPMR	G protein-coupled receptor 88	607468	mutation identified in 1 COCPMR family	?Chorea, childhood-onset, with psychomotor retardation	616939	Autosomal recessive	3	Gpr88
1p21.2	1:100719639-100739044	VCAM1	Vascular cell adhesion molecule-1	192225					Vcam1
1p21.1	1:102876466-103108579	COL11A1, STL2	Collagen XI, alpha-1 polypeptide	120280		Marshall syndrome	154780	Autosomal dominant	3	Col11a1
1p21.1	1:102876466-103108579	COL11A1, STL2	Collagen XI, alpha-1 polypeptide	120280		Fibrochondrogenesis 1	228520	Autosomal recessive	3	Col11a1
1p21.1	1:102876466-103108579	COL11A1, STL2	Collagen XI, alpha-1 polypeptide	120280		{Lumbar disc herniation, susceptibility to}	603932		3	Col11a1
1p21.1	1:102876466-103108579	COL11A1, STL2	Collagen XI, alpha-1 polypeptide	120280		Stickler syndrome, type II	604841	Autosomal dominant	3	Col11a1
1p13	1:106700000-117200000	VUR	Vesicoureteral reflux	193000		Vesicoureteral reflux	193000	Autosomal dominant	2	
1p13.3	1:107139917-107484898	NTNG1, LMNT1, KIAA0976	Netrin G1	608818					Ntng1
1p13.3	1:108875349-108934334	GPSM2, LGN, PINS, DFNB82, CMCS	G protein signaling modulator 2	609245		Chudley-McCullough syndrome	604213	Autosomal recessive	3	Gpsm2
1p13.3	1:109064375-109076001	TAF13, TAF2K, MRT60	TAF13 RNA polymerase II, TATA box-binding protein-associated factor, 18kD	600774		Mental retardation, autosomal recessive 60	617432	Autosomal recessive	3	Taf13
1p13.3	1:109548563-109595842	GNAI3, ARCND1	Guanine nucleotide-binding protein (G-protein), alpha-inhibiting activity polypeptide-3	139370		Auriculocondylar syndrome 1	602483	Autosomal dominant	3	Gnai3
1p13.3	1:109603090-109619732	GNAT2, ACHM4	Guanine nucleotide-binding protein (G-protein), alpha-transducing (transducin) activity polypeptide-2	139340		Achromatopsia 4	613856		3	Gnat2
1p13.3	1:109619812-109632054	AMPD2, SPG63, PCH9	Adenosine monophosphate deaminase-2, isoform L	102771	mutation identified in 1 SPG63 family	Pontocerebellar hypoplasia, type 9	615809	Autosomal recessive	3	Ampd2
1p13.3	1:109619812-109632054	AMPD2, SPG63, PCH9	Adenosine monophosphate deaminase-2, isoform L	102771	mutation identified in 1 SPG63 family	?Spastic paraplegia 63	615686	Autosomal recessive	3	Ampd2
1p13.3	1:109910505-109930993	CSF1, MCSF	Colony-stimulating factor-1 (macrophage)	120420	incorrectly assigned to chr.5				Csf1
1p13.3	1:110060374-110070699	ALX3, FND1	Aristaless-like homeobox 3	606014		Frontonasal dysplasia 1	136760	Autosomal recessive	3	Alx3
1p13.3	1:110150509-110202201	SLC6A17, NTT4, MRT48	Solute carrier family 6 (neurotransmitter transporter), member 17	610299		Mental retardation, autosomal recessive 48	616269	Autosomal recessive	3	Slc6a17
1p13.2	1:111290851-111320565	CHIA, TSA1902, CHIT2	Chitinase, acidic	606080					Chia1
1p13.2	1:111770661-111989576	KCND3, KCND3S, KCND3L, SCA19, SCA22, BRGDA9	Potassium voltage-gated channel, Shal-related subfamily, member 3	605411		Spinocerebellar ataxia 19	607346	Autosomal dominant	3	Kcnd3
1p13.2	1:111770661-111989576	KCND3, KCND3S, KCND3L, SCA19, SCA22, BRGDA9	Potassium voltage-gated channel, Shal-related subfamily, member 3	605411		Brugada syndrome 9	616399	Autosomal dominant	3	Kcnd3
1p13.2	1:112911846-112956352	SLC16A1, MCT1, HHF7, MCT1D	Solute carrier family 16 (monocarboxylic acid transporters), member 1	600682		Monocarboxylate transporter 1 deficiency	616095	Autosomal dominant; Autosomal recessive	3	Slc16a1
1p13.2	1:112911846-112956352	SLC16A1, MCT1, HHF7, MCT1D	Solute carrier family 16 (monocarboxylic acid transporters), member 1	600682		Hyperinsulinemic hypoglycemia, familial, 7	610021	Autosomal dominant	3	Slc16a1
1p13.2	1:112911846-112956352	SLC16A1, MCT1, HHF7, MCT1D	Solute carrier family 16 (monocarboxylic acid transporters), member 1	600682		Erythrocyte lactate transporter defect	245340	Autosomal dominant	3	Slc16a1
1p13.2	1:113073169-113132259	LRIG2, LIG2, KIAA0806, UFS2	Leucine-rich repeats- and immunoglobulin-like domains-containing protein 2	608869		Urofacial syndrome 2	615112	Autosomal recessive	3	Lrig2
1p13.2	1:113813810-113871760	PTPN22, PEP, PTPN8, LYP	Protein tyrosine phosphatase, nonreceptor-type 22	600716		{Systemic lupus erythematosus susceptibility to}	152700	Autosomal dominant	3	Ptpn22
1p13.2	1:113813810-113871760	PTPN22, PEP, PTPN8, LYP	Protein tyrosine phosphatase, nonreceptor-type 22	600716		{Rheumatoid arthritis, susceptibility to}	180300		3	Ptpn22
1p13.2	1:113813810-113871760	PTPN22, PEP, PTPN8, LYP	Protein tyrosine phosphatase, nonreceptor-type 22	600716		{Diabetes, type 1, susceptibility to}	222100	Autosomal recessive	3	Ptpn22
1p13.2	1:113894193-113905201	AP4B1, SPG47, CPSQ5	Adaptor-related protein complex 4, beta-1 subunit	607245		Spastic paraplegia 47, autosomal recessive	614066	Autosomal recessive	3	Ap4b1
1p13.2	1:114673097-114695617	AMPD1, MMDD	Adenosine monophosphate deaminase-1, muscle	102770		Myopathy due to myoadenylate deaminase deficiency	615511	Autosomal recessive	3	Ampd1
1p13.2	1:114704463-114716893	NRAS, ALPS4, NS6, CMNS, NCMS	Neuroblastoma RAS viral (v-ras) oncogene homolog	164790	cen-CD2-NGFB-NRAS	Neurocutaneous melanosis, somatic	249400		3	Nras
1p13.2	1:114704463-114716893	NRAS, ALPS4, NS6, CMNS, NCMS	Neuroblastoma RAS viral (v-ras) oncogene homolog	164790	cen-CD2-NGFB-NRAS	Melanocytic nevus syndrome, congenital, somatic	137550		3	Nras
1p13.2	1:114704463-114716893	NRAS, ALPS4, NS6, CMNS, NCMS	Neuroblastoma RAS viral (v-ras) oncogene homolog	164790	cen-CD2-NGFB-NRAS	Epidermal nevus, somatic	162900		3	Nras
1p13.2	1:114704463-114716893	NRAS, ALPS4, NS6, CMNS, NCMS	Neuroblastoma RAS viral (v-ras) oncogene homolog	164790	cen-CD2-NGFB-NRAS	Thyroid carcinoma, follicular, somatic	188470		3	Nras
1p13.2	1:114704463-114716893	NRAS, ALPS4, NS6, CMNS, NCMS	Neuroblastoma RAS viral (v-ras) oncogene homolog	164790	cen-CD2-NGFB-NRAS	Colorectal cancer, somatic	114500		3	Nras
1p13.2	1:114704463-114716893	NRAS, ALPS4, NS6, CMNS, NCMS	Neuroblastoma RAS viral (v-ras) oncogene homolog	164790	cen-CD2-NGFB-NRAS	Schimmelpenning-Feuerstein-Mims syndrome, somatic mosaic	163200		3	Nras
1p13.2	1:114704463-114716893	NRAS, ALPS4, NS6, CMNS, NCMS	Neuroblastoma RAS viral (v-ras) oncogene homolog	164790	cen-CD2-NGFB-NRAS	?RAS-associated autoimmune lymphoproliferative syndrome type IV, somatic	614470		3	Nras
1p13.2	1:114704463-114716893	NRAS, ALPS4, NS6, CMNS, NCMS	Neuroblastoma RAS viral (v-ras) oncogene homolog	164790	cen-CD2-NGFB-NRAS	Noonan syndrome 6	613224	Autosomal dominant	3	Nras
1p13.2	1:115285914-115338252	NGF, NGFB, HSAN5	Nerve growth factor, beta	162030	same 310kb fragment as TSHB; order: cen-CD2-CD58-ATP1A1-NGF-TSHB-NRAS-tel	Neuropathy, hereditary sensory and autonomic, type V	608654	Autosomal recessive	3	Ngf
1p13.1	1:115641952-115698223	VANGL1, STBM2	Vang-like 1	610132		{Neural tube defects, susceptibility to}	182940	Autosomal dominant	3	Vangl1
1p13.1	1:115641952-115698223	VANGL1, STBM2	Vang-like 1	610132		Caudal regression syndrome	600145	Autosomal dominant	3	Vangl1
1p12	1:118883042-118989555	TBX15	T-box 15	604127		Cousin syndrome	260660	Autosomal recessive	3	Tbx15
1p12	1:119414930-119423038	HSD3B2	Hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase, type 2 (adrenal, gonadal)	613890		Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency	201810	Autosomal recessive	3	Hsd3b1
1p12	1:119711736-119744225	PHGDH, NLS1, PHGDHD	Phosphoglycerate dehydrogenase	606879		Phosphoglycerate dehydrogenase deficiency	601815	Autosomal recessive	3	Phgdh
1p12	1:119711736-119744225	PHGDH, NLS1, PHGDHD	Phosphoglycerate dehydrogenase	606879		Neu-Laxova syndrome 1	256520	Autosomal recessive	3	Phgdh
1p12	1:119747995-119769124	HMGCS2	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2, mitochondrial	600234		HMG-CoA synthase-2 deficiency	605911	Autosomal recessive	3	Hmgcs2
1p12	1:119911552-120073448	NOTCH2, AGS2, HJCYS	Notch, Drosophila, homolog  of, 2	600275		Hajdu-Cheney syndrome	102500	Autosomal dominant	3	Notch2
1p12	1:119911552-120073448	NOTCH2, AGS2, HJCYS	Notch, Drosophila, homolog  of, 2	600275		Alagille syndrome 2	610205	Autosomal dominant	3	Notch2
1p11.2	1:121184966-121392818	SRGAP2C	SLIT-ROBO Rho GTPase-activating protein 2C	614704					
1q21-q22	1:143200000-156600000	ASPG3	Asperger syndrome, susceptibility to, 3	608781	max lod at D1S484	{Asperger syndrome susceptibility 3}	608781		2	
1q21.1	1:143200000-147500000	DEL1q21, C1DELq21	Chromosome 1q21.1 deletion syndrome	612474	contiguous gene deletion syndrome	Chromosome 1q21.1 deletion syndrome	612474	Isolated cases; Autosomal dominant	4	
